SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
733;473;8242;4;10;1;8;4;1;1;1;1;1;0;6;0;7;3;11;3;153,268236;1;22,64655172;5,724137931;3,956325301;1,467077895
733;473;18703;4;10;1;10;2;4;3;1;1;1;0;6;0;8;3;11;3;151,4990756;1;22,64655172;5,724137931;3,956325301;-0,459149797
733;473;11684;4;10;1;4;4;1;1;1;1;1;0;8;0;6;3;11;3;162,9194804;1;22,64655172;5,724137931;3,956325301; 
733;473;18873;4;10;2;9;4;1;1;1;1;1;0;8;0;7;3;11;3;160,8548561;1;22,64655172;5,724137931;3,956325301;-0,408135322
733;473;14488;4;10;1;12;4;1;1;1;1;4;0;7;0;7;3;11;3;146,2860004;1;22,64655172;5,724137931;3,956325301;0,493723628
733;473;14492;4;10;2;10;4;1;1;1;1;1;0;8;0;8;3;11;3;166,4791602;2;22,64655172;5,724137931;3,956325301;-1,030124139
733;473;16931;4;10;1;11;3;1;3;1;1;2;0;7;0;7;3;11;3;153,7126787;1;22,64655172;5,724137931;3,956325301;0,493723628
733;473;16940;4;10;1;11;3;1;3;3;4;4;0;7;0;6;3;11;3;148,688459;1;22,64655172;5,724137931;3,956325301; 
733;473;16960;4;10;1;12;2;4;3;9;9;4;0;7;0;7;3;11;3;153,268236;1;22,64655172;5,724137931;3,956325301;-0,887504697
734;474;1619;2;10;1;7;4;1;1;1;1;1;0;8;0;6;2;11;3;276,0061889;5;12,48387097;1,032258065;12,09375;0,828743778
734;474;3056;2;10;2;1;4;1;1;1;1;1;0;7;0;9;2;11;3;228,5242719;4;12,48387097;1,032258065;12,09375;-0,576510289
734;474;5200;2;10;2;1;5;1;1;1;1;1;0;7;0;8;2;11;3;183,3683218;2;12,48387097;1,032258065;12,09375;1,102490828
734;474;5802;2;10;1;5;4;1;1;1;1;1;0;6;0;8;2;11;3;224,4755727;4;12,48387097;1,032258065;12,09375;-0,887504697
734;474;5803;2;10;1;11;4;1;1;1;1;1;0;8;0;9;2;11;3;225,5302184;4;12,48387097;1,032258065;12,09375;0,482813703
734;474;7310;2;10;1;5;4;1;1;1;1;1;0;9;0;10;2;11;3;291,8066304;5;12,48387097;1,032258065;12,09375;0,162839019
734;474;8337;2;10;2;2;4;1;1;1;1;1;0;6;0;5;2;11;3;173,5362723;2;12,48387097;1,032258065;12,09375;1,57476167
734;474;8832;2;10;2;7;4;1;1;1;1;1;0;7;0;6;2;11;3;186,6285406;2;12,48387097;1,032258065;12,09375;1,79692918
734;474;8833;2;10;2;9;4;1;1;1;1;1;0;6;0;6;2;11;3;197,021617;3;12,48387097;1,032258065;12,09375;-0,439259597
