SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
733;472;15648;4;10;1;9;4;1;1;1;1;1;0;6;0;5;3;11;3;184,000929530074;2;21,8916666666667;5,53333333333333;3,95632530120482;-,087234379402953
733;472;16036;4;10;2;5;4;1;1;1;1;1;0;7;0;7;3;11;3;141,584642171396;1;21,8916666666667;5,53333333333333;3,95632530120482;,00156258520002311
733;472;16037;4;10;1;9;4;1;1;1;1;1;0;7;0;8;3;11;3;167,502480063387;2;21,8916666666667;5,53333333333333;3,95632530120482;1,606036436262
733;472;16919;4;10;1;3;3;1;3;1;1;4;0;6;0;5;3;11;3;116,371775172068;1;21,8916666666667;5,53333333333333;3,95632530120482;-1,04878113134318
733;472;16959;4;10;2;8;3;1;3;1;9;1;0;7;0;7;3;11;3;151,889041173581;1;21,8916666666667;5,53333333333333;3,95632530120482;-,559505221663535
733;472;17954;4;10;1;2;2;4;3;2;3;4;0;6;0;6;3;11;3;78,9414964161674;1;21,8916666666667;5,53333333333333;3,95632530120482;-1,3434302387703
733;473;141;4;10;1;10;2;1;3;9;9;9;0;6;0;7;3;11;3;162,645642052298;2;21,8916666666667;5,53333333333333;3,95632530120482;-1,03243583061539
733;473;142;4;10;1;1;3;1;3;1;1;1;0;7;0;8;3;11;3;144,479444790163;1;21,8916666666667;5,53333333333333;3,95632530120482;,0454785272272052
733;473;750;4;10;1;6;4;1;1;1;1;1;99;99;99;99;9;11;3;217,850365022845;4;21,8916666666667;5,53333333333333;3,95632530120482;,187352603383489
733;473;3208;4;10;2;10;4;1;1;1;1;2;0;7;0;7;3;11;3;188,513320821325;3;21,8916666666667;5,53333333333333;3,95632530120482;-,611445955091623
733;473;5274;4;10;2;1;5;1;1;1;1;1;0;8;0;9;3;11;3;196,559273652833;3;21,8916666666667;5,53333333333333;3,95632530120482;,0105428612181836
733;473;5778;4;10;1;7;4;1;1;1;1;1;0;6;0;6;3;11;3;142,473497636263;1;21,8916666666667;5,53333333333333;3,95632530120482; 
733;473;6885;4;10;1;9;4;1;1;1;1;1;0;6;0;7;3;11;3;139,327668695527;1;21,8916666666667;5,53333333333333;3,95632530120482;,943792577709897
733;473;6886;4;10;2;12;4;1;1;1;9;1;0;8;0;7;3;11;3;131,222096205093;1;21,8916666666667;5,53333333333333;3,95632530120482; 
733;473;8242;4;10;1;8;4;1;1;1;1;1;0;6;0;7;3;11;3;156,951689354554;2;21,8916666666667;5,53333333333333;3,95632530120482;1,46707789468029
733;473;10049;4;10;1;10;4;1;1;3;2;2;0;7;0;6;3;11;3;175,660597245886;2;21,8916666666667;5,53333333333333;3,95632530120482;,7871395276268
733;473;11684;4;10;1;4;4;1;1;1;1;1;0;8;0;6;3;11;3;162,645642052298;2;21,8916666666667;5,53333333333333;3,95632530120482; 
