SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;grado;genere;mese;anno;luogo;regolarità;origine;eta;codice_orario;freq_asilo_nido;freq_scuola_materna;luogo_padre;titolo_padre;prof_padre;luogo_madre;titolo_madre;prof_madre;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;B1;B2;pu_it_gr;pu_it_perc;part_1_gr;part_1_perc;part_2_gr;part_2_perc;WLE_ITA_200;peso_studente;peso_classe;peso_scuola;Cod_Reg;Areageo_5
3;6;11125;2;1;4;4;1;1;1;77;4;1;1;1;5;7;1;9;7;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;8;50;8;57,1428571428571;0;0;205,971402302093;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;14068;2;1;8;4;1;1;3;77;4;1;1;3;4;4;3;8;99;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;13;81,25;11;78,5714285714286;2;100;214,868940087507;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;14607;2;2;3;4;1;1;1;77;4;1;1;1;4;7;1;4;7;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;13;81,25;12;85,7142857142857;1;50;214,868940087507;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;14518;2;1;7;4;1;1;1;77;4;2;1;1;2;6;1;8;5;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;13;81,25;12;85,7142857142857;1;50;214,868940087507;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;5108;2;1;8;4;1;1;1;77;4;1;1;1;11;5;1;8;6;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;11;68,75;10;71,4285714285714;1;50;230,955152358498;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;14608;2;1;6;4;1;1;1;77;4;2;1;1;4;6;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;3512;2;1;12;4;1;1;1;77;4;1;1;1;4;7;1;8;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;7127;2;2;9;4;1;1;1;77;4;2;1;1;8;5;1;8;5;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;3514;2;1;1;4;1;1;1;77;4;2;1;1;2;6;1;6;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;15;93,75;14;100;1;50;254,059981399511;24,6090041074973;,980769230769231;25,0915335998012;2;1
3;6;7902;2;2;7;4;1;1;1;77;4;2;1;1;3;8;1;7;6;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;14;87,5;12;85,7142857142857;2;100;282,185205660737;24,6090041074973;,980769230769231;25,0915335998012;2;1
