SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
80,16,85,8,1,2,12,4,4,3,1,2,1,1,2,8,1,2,2,0,6,0,4,0,6,1,1,1,90.477144976332,1,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,88,8,2,2,6,1,88,3,1,2,1,4,4,6,1,2,8,0,6,0,4,0,6,1,1,1,200.830549460352,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,.0900251614992073
80,16,89,8,1,2,10,1,88,3,1,2,2,1,99,99,9,99,99,0,6,0,5,0,7,1,1,1,159.378847967569,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3644,8,1,3,7,1,88,1,1,2,1,9,99,99,1,6,7,0,8,0,9,0,7,1,1,1,208.379985496099,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3645,8,2,3,5,1,88,1,1,1,1,4,2,8,1,2,8,0,5,0,4,0,6,1,1,1,208.379985496099,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3646,8,2,3,9,1,88,1,1,1,1,1,4,6,1,4,7,0,7,0,6,0,7,1,1,1,212.377384947866,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,1.20816839491141
80,16,3648,8,1,3,6,1,88,1,1,2,1,9,99,99,1,4,6,0,5,0,6,0,6,1,1,1,139.467041250859,1,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3649,8,1,3,7,1,88,1,1,2,1,1,2,6,1,2,7,0,6,0,7,0,6,1,1,1,164.011619115489,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886, 
80,16,3651,8,1,3,8,1,88,1,1,2,1,1,4,3,1,4,4,0,6,0,6,0,6,1,1,1,177.267067596363,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,.719921616896611
80,16,3652,8,2,3,8,1,88,1,1,1,1,1,4,6,4,7,5,0,6,0,5,0,6,1,1,1,186.223210868742,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,.22677720011234
80,16,3653,8,1,3,3,1,88,1,1,1,1,1,2,6,1,4,8,0,7,0,7,0,7,1,1,1,162.744312572589,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,-.101086152509983
80,16,3654,8,2,3,3,1,88,1,1,1,1,1,4,7,1,2,8,0,7,0,7,0,7,1,1,1,217.403714843654,4,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,-.224923066199495
80,16,3655,8,2,3,11,1,88,1,1,1,1,2,7,6,1,9,6,0,6,0,5,0,7,1,1,1,196.340823620549,3,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,1.11967966464697
80,16,3656,8,2,3,9,1,88,1,1,1,1,1,99,99,1,4,99,0,6,0,7,0,6,1,1,1,168.067521177834,2,11.2058823529412,2.41176470588235,4.64634146341464,.262899480422886,-.224923066199495
